id;nombre;fecha_publicacion;protagonistas;director;productor;tecnologia
1;project Operations;2020-10-08;architectures;Czech Republic next-generation;Cambridgeshire;Investor
2;Indiana Mount portals;2020-10-08;Buckinghamshire auxiliary;Personal Loan Account Small Frozen Tuna Planner;systematic;transmitting cyan
3;didactic Towels;2020-10-08;Quality Georgia magnetic;Division synthesizing analyzer;collaboration;wireless Unbranded hub
4;Brazilian Real;2020-10-08;grid-enabled synthesize Handcrafted Plastic Hat;global e-business Home Loan Account;online Suriname paradigms;holistic orchestrate algorithm
5;Legacy;2020-10-08;Future Developer engage;Automotive cross-platform Oklahoma;Concrete strategic payment;USB withdrawal
6;Macao Music online;2020-10-08;Saudi Arabia redundant purple;Taiwan;Networked Soft Oval;Berkshire Supervisor structure
7;Hryvnia wireless;2020-10-08;initiative Fantastic Rubber Chips Zimbabwe;Oklahoma non-volatile;Specialist New Israeli Sheqel Mouse;action-items azure
8;index;2020-10-08;Representative;Alaska;digital calculating;back-end Lake Grocery
9;Human Rubber;2020-10-08;Jordanian Dinar indigo Connecticut;virtual Rubber Intelligent Cotton Table;Wisconsin;virtual Ville
10;Zimbabwe;2020-10-08;Handcrafted card Automotive;payment Peso Uruguayo Uruguay Peso en Unidades Indexadas;Dynamic Montana Universal;protocol Automotive Mobility
